sim,front,mid,back,lat_left,lat_right,coronal,condition,GGP,GGM,GGA,STY,MH,HG,TRANS,VERT,SL,IL,JAW.OPEN,JAW.CLOSE
39887,0,0,0,1,1,0,5mm,0.25,0,0,0,0.25,0,0.1,0,0.25,0.25,0,0.0015
39894,3,5,0,1,1,7,5mm,0.25,0,0,0,0.25,0,0.1,0.1,0.25,0,0,0.0015
41821,0,0,0,1,1,0,5mm,0.25,0,0.1,0,0.1,0,0,0.25,0.25,0.1,0,0.0015
42041,0,0,0,1,2,0,5mm,0.25,0,0.1,0,0.25,0,0,0,0,0.25,0,0.0015
42050,0,0,0,1,2,0,5mm,0.25,0,0.1,0,0.25,0,0,0.1,0,0.25,0,0.0015
42777,0,0,0,1,1,0,5mm,0.25,0,0.1,0.1,0.25,0,0,0.1,0,0,0,0.0015
42785,0,0,0,1,1,0,5mm,0.25,0,0.1,0.1,0.25,0,0,0.1,0.25,0.25,0,0.0015
42793,0,0,0,2,3,0,5mm,0.25,0,0.1,0.1,0.25,0,0,0.25,0.25,0.1,0,0.0015
43996,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.1,0,0,0.1,0.1,0.1,0,0.0015
44004,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.1,0,0,0.25,0.1,0,0,0.0015
44228,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.25,0,0,0,0,0.25,0,0.0015
44966,0,0,0,1,1,0,5mm,0.25,0,0.25,0.1,0.25,0,0,0.1,0,0.25,0,0.0015
46175,0,0,0,1,1,0,5mm,0.25,0.1,0,0,0.1,0,0,0,0.1,0.25,0,0.0015
46420,0,0,0,3,2,0,5mm,0.25,0.1,0,0,0.25,0,0,0,0.25,0.1,0,0.0015
46428,0,0,0,4,4,0,5mm,0.25,0.1,0,0,0.25,0,0,0.1,0.25,0,0,0.0015
46457,0,0,0,1,1,0,5mm,0.25,0.1,0,0,0.25,0,0.1,0.1,0.25,0.25,0,0.0015
46923,0,0,0,1,2,0,5mm,0.25,0.1,0,0.1,0.1,0,0,0.25,0.25,0,0,0.0015
47155,0,0,0,2,3,0,5mm,0.25,0.1,0,0.1,0.25,0,0,0.1,0.1,0.1,0,0.0015
48374,0,0,0,1,1,0,5mm,0.25,0.1,0.1,0,0.1,0,0,0.1,0.25,0.25,0,0.0015
48382,0,0,0,2,1,0,5mm,0.25,0.1,0.1,0,0.1,0,0,0.25,0.25,0.1,0,0.0015
48602,0,0,0,1,3,0,5mm,0.25,0.1,0.1,0,0.25,0,0,0,0,0.25,0,0.0015
48617,0,0,0,2,1,0,5mm,0.25,0.1,0.1,0,0.25,0,0,0.1,0.25,0.25,0,0.0015
48625,0,0,0,2,2,0,5mm,0.25,0.1,0.1,0,0.25,0,0,0.25,0.25,0.1,0,0.0015
49333,0,0,0,1,2,0,5mm,0.25,0.1,0.1,0.1,0.25,0,0,0,0.1,0.1,0,0.0015
49372,0,0,0,1,1,0,5mm,0.25,0.1,0.1,0.1,0.25,0,0.1,0.1,0.25,0.1,0,0.0015
49380,0,0,0,2,2,0,5mm,0.25,0.1,0.1,0.1,0.25,0,0.1,0.25,0.25,0,0,0.0015
50322,0,0,0,2,2,0,5mm,0.25,0.1,0.25,0,0,0,0,0.25,0.1,0,0,0.0015
50556,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0.1,0,0,0.1,0.1,0,0,0.0015
50566,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0.1,0,0,0.25,0.1,0.1,0,0.0015
50789,0,0,0,1,1,0,5mm,0.25,0.1,0.25,0,0.25,0,0,0,0,0.25,0,0.0015
52492,0,0,0,1,1,0,5mm,0.25,0.25,0,0,0,0,0,0,0.1,0.1,0,0.0015
52501,0,0,0,2,2,0,5mm,0.25,0.25,0,0,0,0,0,0.1,0.1,0.1,0,0.0015
52511,0,0,0,1,1,0,5mm,0.25,0.25,0,0,0,0,0,0.25,0.1,0.25,0,0.0015
52982,0,0,0,5,4,0,5mm,0.25,0.25,0,0,0.25,0,0,0,0.25,0.25,0,0.0015
52990,0,0,0,5,4,0,5mm,0.25,0.25,0,0,0.25,0,0,0.1,0.25,0.1,0,0.0015
52998,0,0,0,5,4,0,5mm,0.25,0.25,0,0,0.25,0,0,0.25,0.25,0,0,0.0015
53079,0,0,0,1,1,0,5mm,0.25,0.25,0,0,0.25,0.1,0,0.25,0.25,0,0,0.0015
53223,0,0,0,2,1,0,5mm,0.25,0.25,0,0.1,0,0,0,0,0.25,0,0,0.0015
53471,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.1,0,0,0.1,0,0.25,0,0.0015
53511,0,0,0,2,2,0,5mm,0.25,0.25,0,0.1,0.1,0,0.1,0.25,0.25,0,0,0.0015
53704,0,0,0,1,4,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0,0,0.1,0,0.0015
53712,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0.1,0,0,0,0.0015
53720,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0.1,0.25,0.25,0,0.0015
53728,0,0,0,2,3,0,5mm,0.25,0.25,0,0.1,0.25,0,0,0.25,0.25,0.1,0,0.0015
53752,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.25,0,0.1,0.25,0.1,0.1,0,0.0015
53806,0,0,0,1,1,0,5mm,0.25,0.25,0,0.1,0.25,0.1,0,0.25,0.1,0.1,0,0.0015
54687,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0,0,0,0,0.1,0.1,0,0,0.0015
54701,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0,0,0,0,0.25,0.25,0.25,0,0.0015
54935,0,0,0,2,1,0,5mm,0.25,0.25,0.1,0,0.1,0,0,0.1,0.25,0.25,0,0.0015
