,L_ANT,R_ANT,L_AG,R_AG,SL_ACT,HG_L,HG_R,SL,GGM_L,GGM_R,STY_L,STY_R,TRANS_L,TRANS_R,IL_L,IL_R,VERT_L,VERT_R,GGP_L,GGP_R,GGA_L,GGA_R,MH_L,MH_R
90,1.0,1,1.0,1,0.8,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.1,0.1
91,1.0,1,1.0,1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.1,0.1
92,1.2,1,0.8,1,0.8,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.0,0.0,0.2,0.25,0.0,0.0,0.08,0.1
93,1.2,1,0.8,1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.0,0.0,0.2,0.25,0.0,0.0,0.08,0.1
94,1.2,1,1.0,1,0.8,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.1,0.1
95,1.2,1,1.0,1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.1,0.1
96,1.0,1,0.8,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.25,0.2,0.25,0.0,0.0,0.08,0.1
97,1.0,1,0.8,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.25,0.2,0.25,0.0,0.0,0.08,0.1
98,1.0,1,1.0,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.1,0.1
99,1.0,1,1.0,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.1,0.1
100,1.2,1,0.8,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.2,0.25,0.2,0.25,0.0,0.0,0.08,0.1
101,1.2,1,0.8,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.2,0.25,0.2,0.25,0.0,0.0,0.08,0.1
102,1.2,1,1.0,1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.1,0.1
103,1.2,1,1.0,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.1,0.1
